Avg_Travel_Expense_USD_per_day,Avg_Temperature_C,Avg_Rating,Annual_Visitors_M,Destination_Name_Ancient Canyon,Destination_Name_Ancient Falls,Destination_Name_Ancient Forest,Destination_Name_Ancient Pagoda,Destination_Name_Ancient Park,Destination_Name_Ancient Plaza,Destination_Name_Ancient Ruins,Destination_Name_Ancient Temple,Destination_Name_Ancient Valley,Destination_Name_Crystal Beach,Destination_Name_Crystal Canyon,Destination_Name_Crystal Falls,Destination_Name_Crystal Forest,Destination_Name_Crystal Pagoda,Destination_Name_Crystal Park,Destination_Name_Crystal Plaza,Destination_Name_Crystal Ruins,Destination_Name_Crystal Temple,Destination_Name_Crystal Valley,Destination_Name_Golden Beach,Destination_Name_Golden Canyon,Destination_Name_Golden Falls,Destination_Name_Golden Forest,Destination_Name_Golden Pagoda,Destination_Name_Golden Park,Destination_Name_Golden Plaza,Destination_Name_Golden Ruins,Destination_Name_Golden Temple,Destination_Name_Golden Valley,Destination_Name_Grand Beach,Destination_Name_Grand Canyon,Destination_Name_Grand Falls,Destination_Name_Grand Forest,Destination_Name_Grand Pagoda,Destination_Name_Grand Park,Destination_Name_Grand Plaza,Destination_Name_Grand Ruins,Destination_Name_Grand Temple,Destination_Name_Grand Valley,Destination_Name_Hidden Beach,Destination_Name_Hidden Canyon,Destination_Name_Hidden Falls,Destination_Name_Hidden Forest,Destination_Name_Hidden Pagoda,Destination_Name_Hidden Park,Destination_Name_Hidden Plaza,Destination_Name_Hidden Ruins,Destination_Name_Hidden Temple,Destination_Name_Hidden Valley,Destination_Name_Lush Beach,Destination_Name_Lush Canyon,Destination_Name_Lush Falls,Destination_Name_Lush Forest,Destination_Name_Lush Pagoda,Destination_Name_Lush Park,Destination_Name_Lush Plaza,Destination_Name_Lush Ruins,Destination_Name_Lush Temple,Destination_Name_Lush Valley,Destination_Name_Mystic Beach,Destination_Name_Mystic Canyon,Destination_Name_Mystic Falls,Destination_Name_Mystic Forest,Destination_Name_Mystic Pagoda,Destination_Name_Mystic Park,Destination_Name_Mystic Plaza,Destination_Name_Mystic Ruins,Destination_Name_Mystic Temple,Destination_Name_Mystic Valley,Destination_Name_Sacred Beach,Destination_Name_Sacred Canyon,Destination_Name_Sacred Falls,Destination_Name_Sacred Forest,Destination_Name_Sacred Pagoda,Destination_Name_Sacred Park,Destination_Name_Sacred Plaza,Destination_Name_Sacred Ruins,Destination_Name_Sacred Temple,Destination_Name_Sacred Valley,Destination_Name_Serene Beach,Destination_Name_Serene Canyon,Destination_Name_Serene Falls,Destination_Name_Serene Forest,Destination_Name_Serene Pagoda,Destination_Name_Serene Park,Destination_Name_Serene Plaza,Destination_Name_Serene Ruins,Destination_Name_Serene Temple,Destination_Name_Serene Valley,Country_Australia,Country_Brazil,Country_Canada,Country_China,Country_Egypt,Country_France,Country_Germany,Country_Greece,Country_India,Country_Italy,Country_Japan,Country_Kenya,Country_Mexico,Country_Morocco,Country_New Zealand,Country_Peru,Country_South Africa,Country_Spain,Country_Thailand,Country_USA,Country_Vietnam,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Type_Beach,Type_City,Type_Historical,Type_Nature,Type_Religious,Best_Season_Spring,Best_Season_Summer,Best_Season_Winter,UNESCO_Site_Yes
174.84,18.0,4.5,7.45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
94.41,10.0,4.6,1.98,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
228.96,18.0,4.7,0.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
120.96,21.5,4.3,2.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
162.1,21.0,3.9,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
190.82,27.0,4.0,1.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
104.6,15.5,4.1,4.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
118.53,25.0,4.7,5.39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
122.78,12.5,4.5,6.27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
119.99,24.0,4.8,1.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
119.91,10.0,5.0,1.66,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
123.32,15.0,4.5,9.14,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
191.13,18.0,4.1,3.46,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
288.92,18.0,4.9,2.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
186.92,13.0,4.6,1.34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
